"KOD","NAZEV","ANAZEV"
BIOEKO,Ekologie,Ecology
SOCSTR,"Stratifikace, sociologie rodiny",Sociology of Stratification
SOCSWO,Sociální práce,Social Work
SPOBMS,Předměty biomedicínského základu,Biomedicine Subjects
SPODIS,Tělesná a pracovní výchova pro postižené,Physical and Labour Education for Disabled
SPOEXT,Předměty širšího základu,External Subjects
SPOGEN,Předměty obecného základu,General Subjects
SPOMNG,Management,Management
SPOREH,Rehabilitace,Rehabilitation
SPOSOC,Předměty společenského základu,Social Subjects
SPOSPE,Předměty odborného základu,Special Core Subjects
TEAART,Výtvarná výchova,Art Education
TEABIO,Biologie,Biology
TEABOH,Bohemistika,"Bohemian Studies, Czech Studies"
TEABSC,Základy pedagogiky,Basics of Pedagogics
TEACAT,Učitelství katolické teologie,Teaching Catholic Theology
TEACHE,Chemie,Chemistry
TEADRA,Dramatická výchova,Drama Education
TEAENG,Angličtina,English
TEAEXT,Předměty širšího základu,External Subjects
TEAFRA,Francouzština,French
TEAGEN,Předměty obecného základu,General Subjects
TEAGEO,Deskriptivní geometrie,Descriptive Geometry
TEAGER,Němčina,German
TEAHIS,Dějepis,History
TEAHUS,Učitelství husitské teologie,Teaching of Hussite Theology
TEAINF,Informatika,Informatics
TEAMAT,Matematika,Mathematics
TEAMUS,Hudební výchova,Music Education
TEAOVY,Občanská výchova,Civic Education
TEAPED,Pedagogika,Pedagogy
TEAPHY,Fyzika,Physics
TEAPSY,Psychologie,Psychology
TEARUS,Ruština,Russian
TEARVY,Rodinná výchova,Family Education
TEASPO,Tělesná výchova,Physical Education
TEATEC,Základy techniky,Basics of Technology
THECAT,Katolická teologie,Catholic Theology
THEEXT,Předměty širšího základu,External Subjects
THEGEN,Předměty obecného základu,General Subjects
THEHUS,Husitská teologie,Hussite Theology
THEPRO,"Evangelická teologie, pastorální  a socialní práce","Protestant Theology, Pastoral and Social Work, The"
ARS,Mezinárodní teritoriální studia,Area Studies
ART,Umění,Arts
BIO,Biologie,Biology
CHE,Chemie,Chemistry
COM,"Žurnalistika, Masová komunikace","Communication, Journalism"
DEM,Demografie,Demography
ECO,Ekonomie,Economics
ENV,Ekologie a ochrana živ. prostředí,Environmental Sciences
GEG,Geografie,Geography
GEL,Geologie,Geology
HLC,Zdravotnické obory,Health Care
INF,Informatika,Informatics
LAW,Právo,Law
MAT,Matematika,Mathematics
MED,Lékařství,Medicine
PED,Pedagogika,Pedagogy
PHL,Filologie,Philology
PHS,Filosofie,Philosophy
PHY,Fyzika,Physics
PLS,Politologie,Political Sciences
PMC,Farmacie,Pharmacy
PSY,Psychologie,Psychology
SOC,Sociologie,Sociology
SPO,Sport,Sport and Physical Education
TEA,Učitelství,Teaching
THE,Teologie,Theology
SOCSPO,Sociální a veřejná politika,Social Policy
LAWLAN,Cizí jazyky pro právníky,Foreign Languages for Lawyers
LAWROM,Římské právo,Roman Law
LAWTHE,Teorie práva,Theory of Law
MATALG,Algebra,Algebra
MATDEQ,"Diferenciální rovnice, teorie potenciálu","Differential Equations, Potential Theory"
MATDID,Didaktika matematiky,Didactics of Mathematics
MATDIS,Diskrétní matematika,Discrete Mathematics
MATECO,Matematická ekonomie a ekonometrie,Math. Econ. and Econometrics
MATEXT,Předměty širšího základu,External Subjects
MATFIN,Finanční a pojistná matematika,Financial and Insurance Math.
MATFNC,Funkční analýza,Functional Analysis
